Variable Ownership Map -- Run:   26AUG2026:11:16:47
Variable                          Owner          N_Src   Sources                              Coalesce
------------------------------------------------------------------------------------------------
ABP_LESS_THAN_60_COUNT            md8              1     md8                                  N
ABP_LESS_THAN_70_COUNT            md8              1     md8                                  N
ABP_LESS_THAN_80_COUNT            md8              1     md8                                  N
ADMIT_BMI                         CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
ADMIT_SOURCE                      CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
AGE_AT_ENCOUNTER                  CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
ANESTHESIA_TYPE                   CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
ASA__ANESTH_RECORD_               CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
AVG_ABP_MEAN                      md8              1     md8                                  N
AVG_BIS_INDEX                     md8              1     md8                                  N
AVG_NIBP_MEAN                     md8              1     md8                                  N
BASE_PROCEDURE_1                  CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
BASE_PROCEDURE_CODE_1             CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
BIS_INDEX_LESS_30_COUNT           md8              1     md8                                  N
BIS_INDEX_LESS_40_COUNT           md8              1     md8                                  N
BRADEN_ACTIVITY                   CONFLICT         3     md3|md6|md7                          N
BRADEN_MOBILITY                   CONFLICT         3     md3|md6|md7                          N
BRADEN_SENSORY_PERCEPTION         CONFLICT         3     md3|md6|md7                          N
CHARGES                           CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
CHARLSON_COMORBIDITY_INDEX        CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
COGNITIVEDISORDER_YN              CONFLICT         3     md1|md2|md3                          N
COGNITIVE_CATEGORY                CONFLICT         6     md3|md4|md5|md6|md7|md8              N
COGNITIVE_DISORDER                CONFLICT         2     md4|md5                              N
COGNITIVE_SCORE                   CONFLICT         6     md3|md4|md5|md6|md7|md8              N
COMP10_T80                        CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
COMP10_T81                        CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
COMP10_T82                        CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
COMP10_T83                        CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
COMP10_T84                        CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
COMP10_T85                        CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
COMP10_T86                        CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
COMP10_T87                        CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
COMP10_T88                        CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
COMPLICATION_SUM                  CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
CPT1_CLASS                        CONFLICT         5     md1|md3|md4|md6|md7                  N
CPT1_LABEL                        CONFLICT         5     md1|md3|md4|md6|md7                  N
CPT_1                             CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
CPT_1_DESCRIPTION                 CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
DAY_OF_WEEK__CHAR_                CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
DAY_OF_WEEK__NUM_                 CONFLICT         3     md3|md6|md7                          N
DEATH                             md7              1     md7                                  N
DEATH_DATE_Y_N                    CONFLICT         5     md1|md2|md3|md4|md5                  N
DEATH_DAYS_AFTER_SURGERY          CONFLICT         5     md3|md4|md5|md6|md7                  N
DIABETES                          CONFLICT         2     md4|md5                              N
DIABETES_YN                       CONFLICT         3     md1|md2|md3                          N
DISCHG_DISPOSITION                CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
EDUCATION                         CONFLICT         6     md1|md2|md3|md4|md5|md8              N
EMERGENT                          CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
EMPLOYEECODE                      CONFLICT         3     md3|md6|md7                          N
EMPLOYEESTATUS                    CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
ENCRYPTED_ENCOUNTER               CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
ENCRYPTED_MRN                     CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
ETHNICITY                         CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
FEELS_EXAUSTED                    CONFLICT         2     md6|md7                              N
FEELS_EXAUSTED_VALUE              CONFLICT         2     md3|md5                              N
FENTANYL_SUBLIMAZE_MG_INTRAOP_TO  CONFLICT         4     md1|md2|md3|md4                      N
FENTANYL_SUBLIMAZE_MG__1_7_TOTAL  CONFLICT         4     md1|md2|md3|md4                      N
FRAILTY_CATEGORY                  CONFLICT         6     md3|md4|md5|md6|md7|md8              N
FRAILTY_SCORE                     CONFLICT         6     md3|md4|md5|md6|md7|md8              N
HOLIDAYS                          CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
HYDROMORPHONE_MG_INTRAOP_TOTAL    CONFLICT         4     md1|md2|md3|md4                      N
HYDROMORPHONE_MG__1_7_TOTAL       CONFLICT         4     md1|md2|md3|md4                      N
HYPERLIPIDEMIA                    CONFLICT         2     md4|md5                              N
HYPERLIPIDEMIA_YN                 CONFLICT         3     md1|md2|md3                          N
HYPERTENSION                      CONFLICT         2     md4|md5                              N
HYPERTENSION_YN                   CONFLICT         3     md1|md2|md3                          N
ICD10_PRINCIPAL_DIAGNOSIS         CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
ICD10_PRINCIPAL_DIAGNOSIS_DESC    CONFLICT         5     md1|md2|md3|md4|md5                  N
ICD10_PRINCIPAL_DIAGNOSIS_POA     CONFLICT         2     md6|md7                              N
ICU_LOS_TOTAL_TIME_HOURS          CONFLICT         3     md2|md3|md4                          N
INTRAOP_KETAMINE                  CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
ISDEAD_Y_N                        md6              1     md6                                  N
ISO_EXP_INTRAOP_MAC_AVERAGE       CONFLICT         5     md1|md2|md3|md4|md8                  N
ISO_EXP_INTRAOP_MAC_MINUTES_TOTA  CONFLICT         5     md1|md2|md3|md4|md8                  N
ISO_EXP_INTRAOP_MAC_TOTAL         CONFLICT         5     md1|md2|md3|md4|md8                  N
ISO_EXP_INTRAOP_TOTAL             CONFLICT         5     md1|md2|md3|md4|md8                  N
ISO_SEV_EXP_INTRAOP_MAC_AVERAGE   CONFLICT         3     md1|md2|md3                          N
ISO_SEV_INTRAOP_MAC_AVERAGE       md4              1     md4                                  N
ISO_SEV_MAC_TOTAL_EXP             md8              1     md8                                  N
KETAMINE_MG_1_7_TOTAL             CONFLICT         5     md1|md2|md3|md4|md8                  N
KETAMINE_MG_INTRAOP_TOTAL         CONFLICT         5     md1|md2|md3|md4|md8                  N
LATITUDE                          CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
LIDOCAINE_MG_1_7_TOTAL            CONFLICT         4     md1|md2|md3|md4                      N
LIDOCAINE_MG_INTRAOP_TOTAL        CONFLICT         4     md1|md2|md3|md4                      N
LONGITUDE                         CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
LOS                               CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
LOS_IN_HOURS                      CONFLICT         7     md1|md2|md3|md4|md5|md6|md7          N
LOW_PHYSICAL_ACTIVITY             CONFLICT         2     md6|md7                              N
LOW_PHYSICAL_ACTIVITY_VALUE       CONFLICT         2     md3|md5                              N
MARITAL_STATUS                    CONFLICT         8     md1|md2|md3|md4|md5|md6|md7|md8      N
MOVEMENTDISORDER                  CONFLICT         2     md4|md5                              N
MOVEMENTDISORDER_YN               CONFLICT         3     md1|md2|md3                          N
NIBP_LESS_60_COUNT                md8              1     md8                                  N
NIBP_LESS_70_COUNT                md8              1     md8                                  N
NIBP_LESS_80_COUNT                md8              1     md8                                  N
