Phase 3 CHARACTER variables and widths (source of truth for LENGTH blocks) -- Run:   26AUG2026:14:28:23
Source               CharVariable                      Width
-------------------------------------------------------------
MASTER_DATA_1        PRECEDE_STUDY_ID                     12
MASTER_DATA_1        ENCRYPTED_MRN                        40
MASTER_DATA_1        ENCRYPTED_ENCOUNTER                  49
MASTER_DATA_1        Day_of_Week__CHAR_                    3
MASTER_DATA_1        Holidays                              1
MASTER_DATA_1        Weekend_Indicator                     1
MASTER_DATA_1        EmployeeStatus                       23
MASTER_DATA_1        Education                            19
MASTER_DATA_1        Race                                 16
MASTER_DATA_1        Ethnicity                            15
MASTER_DATA_1        Sex                                   6
MASTER_DATA_1        Marital_Status                       22
MASTER_DATA_1        Service                              32
MASTER_DATA_1        Room_Type                            21
MASTER_DATA_1        Emergent                              1
MASTER_DATA_1        Base_Procedure_1                    198
MASTER_DATA_1        Base_Procedure_Code_1                10
MASTER_DATA_1        CPT_1                                 8
MASTER_DATA_1        CPT_1_Description                    73
MASTER_DATA_1        CPT1_Label                           96
MASTER_DATA_1        Patient_Type                         18
MASTER_DATA_1        Payer                                12
MASTER_DATA_1        ICD10_Principal_Diagnosis_Desc       60
MASTER_DATA_1        ICD10_Principal_Diagnosis             7
MASTER_DATA_1        Intraop_Ketamine                      1
MASTER_DATA_1        Preop_block                           1
MASTER_DATA_1        Admit_Source                         40
MASTER_DATA_1        Dischg_Disposition                   42
MASTER_DATA_1        _30_DAY_MORTALITY                     1
MASTER_DATA_1        Death_Date_Y_N                        1
MASTER_DATA_1        SSDI_Death_Date_Y_N                   1
MASTER_DATA_1        Anesthesia_Type                      33
MASTER_DATA_1        Sleep_Apnea_YN                        1
MASTER_DATA_1        Diabetes_YN                           1
MASTER_DATA_1        Hyperlipidemia_YN                     1
MASTER_DATA_1        Hypertension_YN                       1
MASTER_DATA_1        MovementDisorder_YN                   1
MASTER_DATA_1        CognitiveDisorder_YN                  1
MASTER_DATA_1        ISO_SEV_Exp_IntraOp_MAC_Average      21
MASTER_DATA_2        PRECEDE_STUDY_ID                     12
MASTER_DATA_2        ENCRYPTED_MRN                        40
MASTER_DATA_2        ENCRYPTED_ENCOUNTER                  49
MASTER_DATA_2        Day_of_Week__CHAR_                    3
MASTER_DATA_2        Holidays                              1
MASTER_DATA_2        Weekend_Indicator                     1
MASTER_DATA_2        EmployeeStatus                       23
MASTER_DATA_2        Education                            19
MASTER_DATA_2        Race                                 16
MASTER_DATA_2        Ethnicity                            15
MASTER_DATA_2        Sex                                   6
MASTER_DATA_2        Marital_Status                       22
MASTER_DATA_2        Service                              32
MASTER_DATA_2        Room_Type                            21
MASTER_DATA_2        Emergent                              1
